temperature	I(Rload)
-2.000000000000000e+01	2.420411e-02
-1.900000000000000e+01	2.420388e-02
-1.800000000000000e+01	2.420362e-02
-1.700000000000000e+01	2.420334e-02
-1.600000000000000e+01	2.420303e-02
-1.500000000000000e+01	2.420271e-02
-1.400000000000000e+01	2.420236e-02
-1.300000000000000e+01	2.420200e-02
-1.200000000000000e+01	2.420163e-02
-1.100000000000000e+01	2.420124e-02
-1.000000000000000e+01	2.420083e-02
-9.000000000000000e+00	2.420042e-02
-8.000000000000000e+00	2.420000e-02
-7.000000000000000e+00	2.419957e-02
-6.000000000000000e+00	2.419913e-02
-5.000000000000000e+00	2.419869e-02
-4.000000000000000e+00	2.419824e-02
-3.000000000000000e+00	2.419779e-02
-2.000000000000000e+00	2.419734e-02
-1.000000000000000e+00	2.419688e-02
0.000000000000000e+00	2.419643e-02
1.000000000000000e+00	2.419598e-02
2.000000000000000e+00	2.419552e-02
3.000000000000000e+00	2.419507e-02
4.000000000000000e+00	2.419463e-02
5.000000000000000e+00	2.419418e-02
6.000000000000000e+00	2.419375e-02
7.000000000000000e+00	2.419331e-02
8.000000000000000e+00	2.419289e-02
9.000000000000000e+00	2.419247e-02
1.000000000000000e+01	2.419205e-02
1.100000000000000e+01	2.419165e-02
1.200000000000000e+01	2.419125e-02
1.300000000000000e+01	2.419087e-02
1.400000000000000e+01	2.419049e-02
1.500000000000000e+01	2.419012e-02
1.600000000000000e+01	2.418976e-02
1.700000000000000e+01	2.418942e-02
1.800000000000000e+01	2.418908e-02
1.900000000000000e+01	2.418876e-02
2.000000000000000e+01	2.418845e-02
2.100000000000000e+01	2.418815e-02
2.200000000000000e+01	2.418786e-02
2.300000000000000e+01	2.418759e-02
2.400000000000000e+01	2.418733e-02
2.500000000000000e+01	2.418708e-02
2.600000000000000e+01	2.418685e-02
2.700000000000000e+01	2.418663e-02
2.800000000000000e+01	2.418642e-02
2.900000000000000e+01	2.418623e-02
3.000000000000000e+01	2.418605e-02
3.100000000000000e+01	2.418589e-02
3.200000000000000e+01	2.418575e-02
3.300000000000000e+01	2.418561e-02
3.400000000000000e+01	2.418550e-02
3.500000000000000e+01	2.418539e-02
3.600000000000000e+01	2.418531e-02
3.700000000000000e+01	2.418524e-02
3.800000000000000e+01	2.418518e-02
3.900000000000000e+01	2.418514e-02
4.000000000000000e+01	2.418512e-02
4.100000000000000e+01	2.418511e-02
4.200000000000000e+01	2.418512e-02
4.300000000000000e+01	2.418514e-02
4.400000000000000e+01	2.418517e-02
4.500000000000000e+01	2.418523e-02
4.600000000000000e+01	2.418529e-02
4.700000000000000e+01	2.418538e-02
4.800000000000000e+01	2.418548e-02
4.900000000000000e+01	2.418559e-02
5.000000000000000e+01	2.418572e-02
5.100000000000000e+01	2.418586e-02
5.200000000000000e+01	2.418602e-02
5.300000000000000e+01	2.418620e-02
5.400000000000000e+01	2.418639e-02
5.500000000000000e+01	2.418659e-02
5.600000000000000e+01	2.418680e-02
5.700000000000000e+01	2.418704e-02
5.800000000000000e+01	2.418728e-02
5.900000000000000e+01	2.418754e-02
6.000000000000000e+01	2.418781e-02
6.100000000000000e+01	2.418810e-02
6.200000000000000e+01	2.418840e-02
6.300000000000000e+01	2.418871e-02
6.400000000000000e+01	2.418903e-02
6.500000000000000e+01	2.418937e-02
6.600000000000000e+01	2.418971e-02
6.700000000000000e+01	2.419007e-02
6.800000000000000e+01	2.419045e-02
6.900000000000000e+01	2.419083e-02
7.000000000000000e+01	2.419122e-02
7.100000000000000e+01	2.419162e-02
7.200000000000000e+01	2.419204e-02
7.300000000000000e+01	2.419246e-02
7.400000000000000e+01	2.419289e-02
7.500000000000000e+01	2.419333e-02
7.600000000000000e+01	2.419378e-02
7.700000000000000e+01	2.419424e-02
7.800000000000000e+01	2.419470e-02
7.900000000000000e+01	2.419517e-02
8.000000000000000e+01	2.419565e-02
8.100000000000000e+01	2.419613e-02
8.200000000000000e+01	2.419662e-02
8.300000000000000e+01	2.419712e-02
8.400000000000000e+01	2.419762e-02
8.500000000000000e+01	2.419812e-02
8.600000000000000e+01	2.419863e-02
8.700000000000000e+01	2.419914e-02
8.800000000000000e+01	2.419965e-02
8.900000000000000e+01	2.420017e-02
9.000000000000000e+01	2.420069e-02
9.100000000000000e+01	2.420120e-02
9.200000000000000e+01	2.420172e-02
9.300000000000000e+01	2.420223e-02
9.400000000000000e+01	2.420275e-02
9.500000000000000e+01	2.420326e-02
9.600000000000000e+01	2.420377e-02
9.700000000000000e+01	2.420427e-02
9.800000000000000e+01	2.420478e-02
9.900000000000000e+01	2.420527e-02
1.000000000000000e+02	2.420576e-02
1.010000000000000e+02	2.420625e-02
1.020000000000000e+02	2.420673e-02
1.030000000000000e+02	2.420720e-02
1.040000000000000e+02	2.420766e-02
1.050000000000000e+02	2.420811e-02
1.060000000000000e+02	2.420855e-02
1.070000000000000e+02	2.420897e-02
1.080000000000000e+02	2.420939e-02
1.090000000000000e+02	2.420979e-02
1.100000000000000e+02	2.421018e-02
1.110000000000000e+02	2.421055e-02
1.120000000000000e+02	2.421091e-02
1.130000000000000e+02	2.421125e-02
1.140000000000000e+02	2.421157e-02
1.150000000000000e+02	2.421187e-02
1.160000000000000e+02	2.421215e-02
1.170000000000000e+02	2.421241e-02
1.180000000000000e+02	2.421265e-02
1.190000000000000e+02	2.421286e-02
1.200000000000000e+02	2.421305e-02
1.210000000000000e+02	2.421321e-02
1.220000000000000e+02	2.421335e-02
1.230000000000000e+02	2.421346e-02
1.240000000000000e+02	2.421354e-02
1.250000000000000e+02	2.421358e-02
1.260000000000000e+02	2.421360e-02
1.270000000000000e+02	2.421358e-02
1.280000000000000e+02	2.421353e-02
1.290000000000000e+02	2.421344e-02
1.300000000000000e+02	2.421332e-02
1.310000000000000e+02	2.421316e-02
1.320000000000000e+02	2.421296e-02
1.330000000000000e+02	2.421271e-02
1.340000000000000e+02	2.421243e-02
1.350000000000000e+02	2.421210e-02
1.360000000000000e+02	2.421173e-02
1.370000000000000e+02	2.421131e-02
1.380000000000000e+02	2.421084e-02
1.390000000000000e+02	2.421033e-02
1.400000000000000e+02	2.420976e-02
1.410000000000000e+02	2.420914e-02
1.420000000000000e+02	2.420847e-02
1.430000000000000e+02	2.420775e-02
1.440000000000000e+02	2.420697e-02
1.450000000000000e+02	2.420613e-02
1.460000000000000e+02	2.420523e-02
1.470000000000000e+02	2.420427e-02
1.480000000000000e+02	2.420325e-02
1.490000000000000e+02	2.420216e-02
1.500000000000000e+02	2.420102e-02
