val_rload	V(col)-V(ref)	I(Rload)
1.000000000000000e+02	8.799696e-02	2.418663e-02
2.000000000000000e+02	4.021645e-02	1.572472e-02
3.000000000000000e+02	3.036940e-02	1.172774e-02
4.000000000000000e+02	2.480185e-02	9.350295e-03
5.000000000000000e+02	2.120483e-02	7.774132e-03
6.000000000000000e+02	1.868504e-02	6.652641e-03
7.000000000000000e+02	1.682019e-02	5.813902e-03
8.000000000000000e+02	1.538360e-02	5.162962e-03
9.000000000000000e+02	1.424271e-02	4.643101e-03
1.000000000000000e+03	1.331460e-02	4.218350e-03
1.100000000000000e+03	1.254475e-02	3.864795e-03
1.200000000000000e+03	1.189584e-02	3.565921e-03
1.300000000000000e+03	1.134139e-02	3.309953e-03
1.400000000000000e+03	1.086217e-02	3.088271e-03
1.500000000000000e+03	1.044381e-02	2.894419e-03
1.600000000000000e+03	1.007539e-02	2.723466e-03
1.700000000000000e+03	9.748518e-03	2.571580e-03
1.800000000000000e+03	9.456515e-03	2.435740e-03
1.900000000000000e+03	9.194136e-03	2.313531e-03
2.000000000000000e+03	8.956909e-03	2.202999e-03
2.100000000000000e+03	8.741617e-03	2.102547e-03
2.200000000000000e+03	8.545220e-03	2.010857e-03
2.300000000000000e+03	8.365273e-03	1.926829e-03
2.400000000000000e+03	8.199990e-03	1.849542e-03
2.500000000000000e+03	8.047402e-03	1.778216e-03
2.600000000000000e+03	7.906318e-03	1.712187e-03
2.700000000000000e+03	7.775366e-03	1.650886e-03
2.800000000000000e+03	7.653534e-03	1.593823e-03
2.900000000000000e+03	7.539868e-03	1.540573e-03
3.000000000000000e+03	7.433653e-03	1.490766e-03
3.100000000000000e+03	7.334054e-03	1.444078e-03
3.200000000000000e+03	7.240593e-03	1.400226e-03
3.300000000000000e+03	7.152617e-03	1.358959e-03
3.400000000000000e+03	7.069707e-03	1.320055e-03
3.500000000000000e+03	6.991506e-03	1.283316e-03
3.600000000000000e+03	6.917477e-03	1.248567e-03
3.700000000000000e+03	6.847382e-03	1.215650e-03
3.800000000000000e+03	6.780922e-03	1.184424e-03
3.900000000000000e+03	6.717801e-03	1.154762e-03
4.000000000000000e+03	6.657779e-03	1.126549e-03
4.100000000000000e+03	6.600618e-03	1.099682e-03
4.200000000000000e+03	6.546140e-03	1.074067e-03
4.300000000000000e+03	6.494135e-03	1.049618e-03
4.400000000000000e+03	6.444484e-03	1.026257e-03
4.500000000000000e+03	6.396979e-03	1.003914e-03
4.600000000000000e+03	6.351501e-03	9.825223e-04
4.700000000000000e+03	6.307960e-03	9.620234e-04
4.800000000000000e+03	6.266177e-03	9.423625e-04
4.900000000000000e+03	6.226063e-03	9.234892e-04
5.000000000000000e+03	6.187558e-03	9.053569e-04
5.100000000000000e+03	6.150544e-03	8.879229e-04
5.200000000000000e+03	6.114930e-03	8.711477e-04
5.300000000000000e+03	6.080627e-03	8.549946e-04
5.400000000000000e+03	6.047577e-03	8.394297e-04
5.500000000000000e+03	6.015688e-03	8.244213e-04
5.600000000000000e+03	5.984962e-03	8.099402e-04
5.700000000000000e+03	5.955279e-03	7.959590e-04
5.800000000000000e+03	5.926609e-03	7.824522e-04
5.900000000000000e+03	5.898923e-03	7.693963e-04
6.000000000000000e+03	5.872101e-03	7.567689e-04
6.100000000000000e+03	5.846173e-03	7.445493e-04
6.200000000000000e+03	5.821079e-03	7.327180e-04
6.300000000000000e+03	5.796790e-03	7.212569e-04
6.400000000000000e+03	5.773216e-03	7.101488e-04
6.500000000000000e+03	5.750358e-03	6.993776e-04
6.600000000000000e+03	5.728185e-03	6.889284e-04
6.700000000000000e+03	5.706668e-03	6.787867e-04
6.800000000000000e+03	5.685806e-03	6.689393e-04
6.900000000000000e+03	5.665511e-03	6.593736e-04
7.000000000000000e+03	5.645812e-03	6.500775e-04
7.100000000000000e+03	5.626649e-03	6.410400e-04
7.200000000000000e+03	5.608022e-03	6.322503e-04
7.300000000000000e+03	5.589873e-03	6.236983e-04
7.400000000000000e+03	5.572230e-03	6.153747e-04
7.500000000000000e+03	5.555063e-03	6.072702e-04
7.600000000000000e+03	5.538315e-03	5.993765e-04
7.700000000000000e+03	5.522043e-03	5.916854e-04
7.800000000000000e+03	5.506128e-03	5.841891e-04
7.900000000000000e+03	5.490661e-03	5.768804e-04
8.000000000000000e+03	5.475551e-03	5.697523e-04
8.100000000000000e+03	5.460799e-03	5.627982e-04
8.200000000000000e+03	5.446434e-03	5.560119e-04
8.300000000000000e+03	5.432367e-03	5.493872e-04
8.400000000000000e+03	5.418688e-03	5.429186e-04
8.500000000000000e+03	5.405307e-03	5.366004e-04
8.600000000000000e+03	5.392224e-03	5.304277e-04
8.700000000000000e+03	5.379438e-03	5.243954e-04
8.800000000000000e+03	5.366921e-03	5.184987e-04
8.900000000000000e+03	5.354732e-03	5.127331e-04
9.000000000000000e+03	5.342782e-03	5.070944e-04
9.100000000000000e+03	5.331099e-03	5.015784e-04
9.200000000000000e+03	5.319655e-03	4.961810e-04
9.300000000000000e+03	5.308479e-03	4.908986e-04
9.400000000000000e+03	5.297542e-03	4.857275e-04
9.500000000000000e+03	5.286783e-03	4.806641e-04
9.600000000000000e+03	5.276293e-03	4.757053e-04
9.700000000000000e+03	5.266041e-03	4.708477e-04
9.800000000000000e+03	5.255938e-03	4.660884e-04
9.900000000000000e+03	5.246073e-03	4.614242e-04
1.000000000000000e+04	5.236387e-03	4.568525e-04
