frequency	v(onoise)*v(onoise)/100	v(onoise)/100
1.000000000000000e+00	2.355544e-19	4.853395e-11
1.002305238077900e+00	2.355544e-19	4.853395e-11
1.004615790278395e+00	2.355544e-19	4.853395e-11
1.006931668851804e+00	2.355544e-19	4.853395e-11
1.009252886076684e+00	2.355544e-19	4.853395e-11
1.011579454259898e+00	2.355544e-19	4.853395e-11
1.013911385736679e+00	2.355544e-19	4.853395e-11
1.016248692870695e+00	2.355544e-19	4.853395e-11
1.018591388054116e+00	2.355544e-19	4.853395e-11
1.020939483707680e+00	2.355544e-19	4.853395e-11
1.023292992280754e+00	2.355544e-19	4.853395e-11
1.025651926251407e+00	2.355544e-19	4.853395e-11
1.028016298126473e+00	2.355544e-19	4.853395e-11
1.030386120441615e+00	2.355544e-19	4.853395e-11
1.032761405761397e+00	2.355544e-19	4.853395e-11
1.035142166679343e+00	2.355544e-19	4.853395e-11
1.037528415818012e+00	2.355544e-19	4.853395e-11
1.039920165829058e+00	2.355544e-19	4.853395e-11
1.042317429393303e+00	2.355544e-19	4.853395e-11
1.044720219220799e+00	2.355544e-19	4.853395e-11
1.047128548050898e+00	2.355544e-19	4.853395e-11
1.049542428652321e+00	2.355544e-19	4.853395e-11
1.051961873823222e+00	2.355544e-19	4.853395e-11
1.054386896391257e+00	2.355544e-19	4.853395e-11
1.056817509213657e+00	2.355544e-19	4.853395e-11
1.059253725177288e+00	2.355544e-19	4.853395e-11
1.061695557198723e+00	2.355544e-19	4.853395e-11
1.064143018224315e+00	2.355544e-19	4.853395e-11
1.066596121230256e+00	2.355544e-19	4.853395e-11
1.069054879222656e+00	2.355544e-19	4.853395e-11
1.071519305237605e+00	2.355544e-19	4.853395e-11
1.073989412341243e+00	2.355544e-19	4.853395e-11
1.076465213629833e+00	2.355544e-19	4.853395e-11
1.078946722229827e+00	2.355544e-19	4.853395e-11
1.081433951297936e+00	2.355544e-19	4.853395e-11
1.083926914021202e+00	2.355544e-19	4.853395e-11
1.086425623617063e+00	2.355544e-19	4.853395e-11
1.088930093333431e+00	2.355544e-19	4.853395e-11
1.091440336448754e+00	2.355544e-19	4.853395e-11
1.093956366272091e+00	2.355544e-19	4.853395e-11
1.096478196143183e+00	2.355544e-19	4.853395e-11
1.099005839432519e+00	2.355544e-19	4.853395e-11
1.101539309541413e+00	2.355544e-19	4.853395e-11
1.104078619902070e+00	2.355544e-19	4.853395e-11
1.106623783977664e+00	2.355544e-19	4.853395e-11
1.109174815262399e+00	2.355544e-19	4.853395e-11
1.111731727281589e+00	2.355544e-19	4.853395e-11
1.114294533591727e+00	2.355544e-19	4.853395e-11
1.116863247780558e+00	2.355544e-19	4.853395e-11
