  Frequency            , I(Rload)             
  1.000000000000e+00  ,2.118705930863e-05  
  1.002305238078e+00  ,2.118705930891e-05  
  1.004615790278e+00  ,2.118705930920e-05  
  1.006931668852e+00  ,2.118705930949e-05  
  1.009252886077e+00  ,2.118705930978e-05  
  1.011579454260e+00  ,2.118705931007e-05  
  1.013911385737e+00  ,2.118705931036e-05  
  1.016248692871e+00  ,2.118705931066e-05  
  1.018591388054e+00  ,2.118705931095e-05  
  1.020939483708e+00  ,2.118705931125e-05  
  1.023292992281e+00  ,2.118705931155e-05  
  1.025651926251e+00  ,2.118705931185e-05  
  1.028016298126e+00  ,2.118705931215e-05  
  1.030386120442e+00  ,2.118705931245e-05  
  1.032761405761e+00  ,2.118705931276e-05  
  1.035142166679e+00  ,2.118705931306e-05  
  1.037528415818e+00  ,2.118705931337e-05  
  1.039920165829e+00  ,2.118705931368e-05  
  1.042317429393e+00  ,2.118705931399e-05  
  1.044720219221e+00  ,2.118705931430e-05  
  1.047128548051e+00  ,2.118705931461e-05  
  1.049542428652e+00  ,2.118705931492e-05  
  1.051961873823e+00  ,2.118705931524e-05  
  1.054386896391e+00  ,2.118705931556e-05  
  1.056817509214e+00  ,2.118705931588e-05  
  1.059253725177e+00  ,2.118705931620e-05  
  1.061695557199e+00  ,2.118705931652e-05  
  1.064143018224e+00  ,2.118705931684e-05  
  1.066596121230e+00  ,2.118705931716e-05  
  1.069054879223e+00  ,2.118705931749e-05  
  1.071519305238e+00  ,2.118705931782e-05  
  1.073989412341e+00  ,2.118705931815e-05  
  1.076465213630e+00  ,2.118705931848e-05  
  1.078946722230e+00  ,2.118705931881e-05  
  1.081433951298e+00  ,2.118705931914e-05  
  1.083926914021e+00  ,2.118705931948e-05  
  1.086425623617e+00  ,2.118705931981e-05  
  1.088930093333e+00  ,2.118705932015e-05  
  1.091440336449e+00  ,2.118705932049e-05  
  1.093956366272e+00  ,2.118705932083e-05  
  1.096478196143e+00  ,2.118705932117e-05  
  1.099005839433e+00  ,2.118705932152e-05  
  1.101539309541e+00  ,2.118705932186e-05  
  1.104078619902e+00  ,2.118705932221e-05  
  1.106623783978e+00  ,2.118705932256e-05  
  1.109174815262e+00  ,2.118705932291e-05  
  1.111731727282e+00  ,2.118705932326e-05  
  1.114294533592e+00  ,2.118705932362e-05  
  1.116863247781e+00  ,2.118705932397e-05  
  1.119437883467e+00  ,2.118705932433e-05  
  1.122018454302e+00  ,2.118705932469e-05  
  1.124604973967e+00  ,2.118705932505e-05  
  1.127197456176e+00  ,2.118705932541e-05  
  1.129795914673e+00  ,2.118705932578e-05  
  1.132400363236e+00  ,2.118705932614e-05  
  1.135010815672e+00  ,2.118705932651e-05  
  1.137627285823e+00  ,2.118705932688e-05  
  1.140249787561e+00  ,2.118705932725e-05  
  1.142878334790e+00  ,2.118705932762e-05  
  1.145512941446e+00  ,2.118705932799e-05  
  1.148153621497e+00  ,2.118705932837e-05  
  1.150800388944e+00  ,2.118705932875e-05  
  1.153453257821e+00  ,2.118705932913e-05  
  1.156112242192e+00  ,2.118705932951e-05  
  1.158777356155e+00  ,2.118705932989e-05  
  1.161448613840e+00  ,2.118705933027e-05  
  1.164126029410e+00  ,2.118705933066e-05  
  1.166809617061e+00  ,2.118705933105e-05  
  1.169499391020e+00  ,2.118705933144e-05  
  1.172195365548e+00  ,2.118705933183e-05  
  1.174897554940e+00  ,2.118705933222e-05  
  1.177605973521e+00  ,2.118705933262e-05  
  1.180320635652e+00  ,2.118705933302e-05  
  1.183041555725e+00  ,2.118705933342e-05  
  1.185768748167e+00  ,2.118705933382e-05  
  1.188502227437e+00  ,2.118705933422e-05  
  1.191242008027e+00  ,2.118705933462e-05  
  1.193988104464e+00  ,2.118705933503e-05  
  1.196740531307e+00  ,2.118705933544e-05  
  1.199499303149e+00  ,2.118705933585e-05  
  1.202264434617e+00  ,2.118705933626e-05  
  1.205035940372e+00  ,2.118705933667e-05  
  1.207813835107e+00  ,2.118705933709e-05  
  1.210598133550e+00  ,2.118705933751e-05  
  1.213388850465e+00  ,2.118705933793e-05  
  1.216186000646e+00  ,2.118705933835e-05  
  1.218989598925e+00  ,2.118705933877e-05  
  1.221799660165e+00  ,2.118705933920e-05  
  1.224616199265e+00  ,2.118705933963e-05  
  1.227439231158e+00  ,2.118705934005e-05  
  1.230268770812e+00  ,2.118705934049e-05  
  1.233104833229e+00  ,2.118705934092e-05  
  1.235947433445e+00  ,2.118705934136e-05  
  1.238796586530e+00  ,2.118705934179e-05  
  1.241652307592e+00  ,2.118705934223e-05  
  1.244514611771e+00  ,2.118705934267e-05  
  1.247383514243e+00  ,2.118705934312e-05  
  1.250259030218e+00  ,2.118705934356e-05  
  1.253141174941e+00  ,2.118705934401e-05  
  1.256029963695e+00  ,2.118705934446e-05  
  1.258925411794e+00  ,2.118705934491e-05  
  1.261827534591e+00  ,2.118705934537e-05  
  1.264736347471e+00  ,2.118705934582e-05  
  1.267651865858e+00  ,2.118705934628e-05  
  1.270574105209e+00  ,2.118705934674e-05  
  1.273503081017e+00  ,2.118705934720e-05  
  1.276438808811e+00  ,2.118705934767e-05  
  1.279381304158e+00  ,2.118705934813e-05  
  1.282330582656e+00  ,2.118705934860e-05  
  1.285286659944e+00  ,2.118705934907e-05  
  1.288249551693e+00  ,2.118705934955e-05  
  1.291219273614e+00  ,2.118705935002e-05  
  1.294195841450e+00  ,2.118705935050e-05  
  1.297179270984e+00  ,2.118705935098e-05  
  1.300169578033e+00  ,2.118705935146e-05  
  1.303166778452e+00  ,2.118705935194e-05  
  1.306170888132e+00  ,2.118705935243e-05  
  1.309181922999e+00  ,2.118705935292e-05  
  1.312199899019e+00  ,2.118705935341e-05  
  1.315224832192e+00  ,2.118705935390e-05  
  1.318256738556e+00  ,2.118705935440e-05  
  1.321295634187e+00  ,2.118705935490e-05  
  1.324341535195e+00  ,2.118705935540e-05  
  1.327394457730e+00  ,2.118705935590e-05  
  1.330454417978e+00  ,2.118705935640e-05  
  1.333521432163e+00  ,2.118705935691e-05  
  1.336595516546e+00  ,2.118705935742e-05  
  1.339676687426e+00  ,2.118705935793e-05  
  1.342764961138e+00  ,2.118705935844e-05  
