  Frequency            , sqrt(ntot(onoise))   
  1.000000000000e+00  ,3.014622915313e-09  
  1.002305238078e+00  ,3.014622915313e-09  
  1.004615790278e+00  ,3.014622915313e-09  
  1.006931668852e+00  ,3.014622915313e-09  
  1.009252886077e+00  ,3.014622915313e-09  
  1.011579454260e+00  ,3.014622915313e-09  
  1.013911385737e+00  ,3.014622915313e-09  
  1.016248692871e+00  ,3.014622915313e-09  
  1.018591388054e+00  ,3.014622915313e-09  
  1.020939483708e+00  ,3.014622915313e-09  
  1.023292992281e+00  ,3.014622915313e-09  
  1.025651926251e+00  ,3.014622915313e-09  
  1.028016298126e+00  ,3.014622915313e-09  
  1.030386120442e+00  ,3.014622915313e-09  
  1.032761405761e+00  ,3.014622915313e-09  
  1.035142166679e+00  ,3.014622915313e-09  
  1.037528415818e+00  ,3.014622915313e-09  
  1.039920165829e+00  ,3.014622915313e-09  
  1.042317429393e+00  ,3.014622915313e-09  
  1.044720219221e+00  ,3.014622915313e-09  
  1.047128548051e+00  ,3.014622915313e-09  
  1.049542428652e+00  ,3.014622915313e-09  
  1.051961873823e+00  ,3.014622915313e-09  
  1.054386896391e+00  ,3.014622915313e-09  
  1.056817509214e+00  ,3.014622915313e-09  
  1.059253725177e+00  ,3.014622915313e-09  
  1.061695557199e+00  ,3.014622915313e-09  
  1.064143018224e+00  ,3.014622915313e-09  
  1.066596121230e+00  ,3.014622915313e-09  
  1.069054879223e+00  ,3.014622915313e-09  
  1.071519305238e+00  ,3.014622915313e-09  
  1.073989412341e+00  ,3.014622915313e-09  
  1.076465213630e+00  ,3.014622915313e-09  
  1.078946722230e+00  ,3.014622915313e-09  
  1.081433951298e+00  ,3.014622915313e-09  
  1.083926914021e+00  ,3.014622915313e-09  
  1.086425623617e+00  ,3.014622915313e-09  
  1.088930093333e+00  ,3.014622915313e-09  
  1.091440336449e+00  ,3.014622915313e-09  
  1.093956366272e+00  ,3.014622915313e-09  
  1.096478196143e+00  ,3.014622915313e-09  
  1.099005839433e+00  ,3.014622915313e-09  
  1.101539309541e+00  ,3.014622915313e-09  
  1.104078619902e+00  ,3.014622915313e-09  
  1.106623783978e+00  ,3.014622915313e-09  
  1.109174815262e+00  ,3.014622915313e-09  
  1.111731727282e+00  ,3.014622915313e-09  
  1.114294533592e+00  ,3.014622915313e-09  
  1.116863247781e+00  ,3.014622915313e-09  
  1.119437883467e+00  ,3.014622915313e-09  
  1.122018454302e+00  ,3.014622915313e-09  
  1.124604973967e+00  ,3.014622915313e-09  
  1.127197456176e+00  ,3.014622915313e-09  
  1.129795914673e+00  ,3.014622915313e-09  
  1.132400363236e+00  ,3.014622915313e-09  
  1.135010815672e+00  ,3.014622915313e-09  
  1.137627285823e+00  ,3.014622915313e-09  
  1.140249787561e+00  ,3.014622915313e-09  
  1.142878334790e+00  ,3.014622915313e-09  
  1.145512941446e+00  ,3.014622915313e-09  
  1.148153621497e+00  ,3.014622915313e-09  
  1.150800388944e+00  ,3.014622915313e-09  
  1.153453257821e+00  ,3.014622915313e-09  
  1.156112242192e+00  ,3.014622915313e-09  
  1.158777356155e+00  ,3.014622915313e-09  
  1.161448613840e+00  ,3.014622915313e-09  
  1.164126029410e+00  ,3.014622915313e-09  
  1.166809617061e+00  ,3.014622915313e-09  
  1.169499391020e+00  ,3.014622915313e-09  
  1.172195365548e+00  ,3.014622915313e-09  
  1.174897554940e+00  ,3.014622915313e-09  
  1.177605973521e+00  ,3.014622915313e-09  
  1.180320635652e+00  ,3.014622915313e-09  
  1.183041555725e+00  ,3.014622915313e-09  
  1.185768748167e+00  ,3.014622915313e-09  
  1.188502227437e+00  ,3.014622915313e-09  
  1.191242008027e+00  ,3.014622915313e-09  
  1.193988104464e+00  ,3.014622915313e-09  
  1.196740531307e+00  ,3.014622915313e-09  
  1.199499303149e+00  ,3.014622915313e-09  
  1.202264434617e+00  ,3.014622915313e-09  
  1.205035940372e+00  ,3.014622915313e-09  
  1.207813835107e+00  ,3.014622915313e-09  
  1.210598133550e+00  ,3.014622915313e-09  
  1.213388850465e+00  ,3.014622915313e-09  
  1.216186000646e+00  ,3.014622915313e-09  
  1.218989598925e+00  ,3.014622915313e-09  
  1.221799660165e+00  ,3.014622915313e-09  
  1.224616199265e+00  ,3.014622915313e-09  
  1.227439231158e+00  ,3.014622915313e-09  
  1.230268770812e+00  ,3.014622915313e-09  
  1.233104833229e+00  ,3.014622915313e-09  
  1.235947433445e+00  ,3.014622915313e-09  
  1.238796586530e+00  ,3.014622915313e-09  
  1.241652307592e+00  ,3.014622915313e-09  
  1.244514611771e+00  ,3.014622915313e-09  
  1.247383514243e+00  ,3.014622915313e-09  
  1.250259030218e+00  ,3.014622915313e-09  
  1.253141174941e+00  ,3.014622915313e-09  
  1.256029963695e+00  ,3.014622915313e-09  
  1.258925411794e+00  ,3.014622915313e-09  
  1.261827534591e+00  ,3.014622915313e-09  
  1.264736347471e+00  ,3.014622915313e-09  
  1.267651865858e+00  ,3.014622915313e-09  
  1.270574105209e+00  ,3.014622915313e-09  
  1.273503081017e+00  ,3.014622915313e-09  
  1.276438808811e+00  ,3.014622915313e-09  
  1.279381304158e+00  ,3.014622915313e-09  
  1.282330582656e+00  ,3.014622915313e-09  
  1.285286659944e+00  ,3.014622915313e-09  
  1.288249551693e+00  ,3.014622915313e-09  
  1.291219273614e+00  ,3.014622915313e-09  
  1.294195841450e+00  ,3.014622915313e-09  
  1.297179270984e+00  ,3.014622915313e-09  
  1.300169578033e+00  ,3.014622915313e-09  
  1.303166778452e+00  ,3.014622915313e-09  
  1.306170888132e+00  ,3.014622915313e-09  
  1.309181922999e+00  ,3.014622915313e-09  
  1.312199899019e+00  ,3.014622915313e-09  
  1.315224832192e+00  ,3.014622915313e-09  
  1.318256738556e+00  ,3.014622915313e-09  
  1.321295634187e+00  ,3.014622915313e-09  
  1.324341535195e+00  ,3.014622915313e-09  
  1.327394457730e+00  ,3.014622915313e-09  
  1.330454417978e+00  ,3.014622915313e-09  
  1.333521432163e+00  ,3.014622915313e-09  
  1.336595516546e+00  ,3.014622915313e-09  
  1.339676687426e+00  ,3.014622915313e-09  
