  Frequency            , SQRT(S(NTOT(ONOISE)))
  1.000000000000e+00  ,1.000000000000e-15  
  1.002305238078e+00  ,1.447407732344e-10  
  1.004615790278e+00  ,2.048122978741e-10  
  1.006931668852e+00  ,2.509873883329e-10  
  1.009252886077e+00  ,2.899823757551e-10  
  1.011579454260e+00  ,3.243971588098e-10  
  1.013911385737e+00  ,3.555643350928e-10  
  1.016248692871e+00  ,3.842750705515e-10  
  1.018591388054e+00  ,4.110445591849e-10  
  1.020939483708e+00  ,4.362304535832e-10  
  1.023292992281e+00  ,4.600930123141e-10  
  1.025651926251e+00  ,4.828286001018e-10  
  1.028016298126e+00  ,5.045896883438e-10  
  1.030386120442e+00  ,5.254974628137e-10  
  1.032761405761e+00  ,5.456501267154e-10  
  1.035142166679e+00  ,5.651285695441e-10  
  1.037528415818e+00  ,5.840003562741e-10  
  1.039920165829e+00  ,6.023226077460e-10  
  1.042317429393e+00  ,6.201441271017e-10  
  1.044720219221e+00  ,6.375070002493e-10  
  1.047128548051e+00  ,6.544478210988e-10  
  1.049542428652e+00  ,6.709986437712e-10  
  1.051961873823e+00  ,6.871877326328e-10  
  1.054386896391e+00  ,7.030401602561e-10  
  1.056817509214e+00  ,7.185782893634e-10  
  1.059253725177e+00  ,7.338221651263e-10  
  1.061695557199e+00  ,7.487898373888e-10  
  1.064143018224e+00  ,7.634976275265e-10  
  1.066596121230e+00  ,7.779603511384e-10  
  1.069054879223e+00  ,7.921915051865e-10  
  1.071519305238e+00  ,8.062034262822e-10  
  1.073989412341e+00  ,8.200074253724e-10  
  1.076465213630e+00  ,8.336139029901e-10  
  1.078946722230e+00  ,8.470324483862e-10  
  1.081433951298e+00  ,8.602719252164e-10  
  1.083926914021e+00  ,8.733405459447e-10  
  1.086425623617e+00  ,8.862459367269e-10  
  1.088930093333e+00  ,8.989951942216e-10  
  1.091440336449e+00  ,9.115949355227e-10  
  1.093956366272e+00  ,9.240513422038e-10  
  1.096478196143e+00  ,9.363701993007e-10  
  1.099005839433e+00  ,9.485569299257e-10  
  1.101539309541e+00  ,9.606166260971e-10  
  1.104078619902e+00  ,9.725540762766e-10  
  1.106623783978e+00  ,9.843737900343e-10  
  1.109174815262e+00  ,9.960800202001e-10  
  1.111731727282e+00  ,1.007676782806e-09  
  1.114294533592e+00  ,1.019167875082e-09  
  1.116863247781e+00  ,1.030556891737e-09  
  1.119437883467e+00  ,1.041847239712e-09  
  1.122018454302e+00  ,1.053042151590e-09  
  1.124604973967e+00  ,1.064144697789e-09  
  1.127197456176e+00  ,1.075157797696e-09  
  1.129795914673e+00  ,1.086084229827e-09  
  1.132400363236e+00  ,1.096926641138e-09  
  1.135010815672e+00  ,1.107687555545e-09  
  1.137627285823e+00  ,1.118369381769e-09  
  1.140249787561e+00  ,1.128974420530e-09  
  1.142878334790e+00  ,1.139504871192e-09  
  1.145512941446e+00  ,1.149962837882e-09  
  1.148153621497e+00  ,1.160350335145e-09  
  1.150800388944e+00  ,1.170669293180e-09  
  1.153453257821e+00  ,1.180921562682e-09  
  1.156112242192e+00  ,1.191108919342e-09  
  1.158777356155e+00  ,1.201233068018e-09  
  1.161448613840e+00  ,1.211295646616e-09  
  1.164126029410e+00  ,1.221298229704e-09  
  1.166809617061e+00  ,1.231242331880e-09  
  1.169499391020e+00  ,1.241129410907e-09  
  1.172195365548e+00  ,1.250960870649e-09  
  1.174897554940e+00  ,1.260738063812e-09  
  1.177605973521e+00  ,1.270462294509e-09  
  1.180320635652e+00  ,1.280134820662e-09  
  1.183041555725e+00  ,1.289756856251e-09  
  1.185768748167e+00  ,1.299329573436e-09  
  1.188502227437e+00  ,1.308854104531e-09  
  1.191242008027e+00  ,1.318331543878e-09  
  1.193988104464e+00  ,1.327762949599e-09  
  1.196740531307e+00  ,1.337149345246e-09  
  1.199499303149e+00  ,1.346491721364e-09  
  1.202264434617e+00  ,1.355791036952e-09  
  1.205035940372e+00  ,1.365048220856e-09  
  1.207813835107e+00  ,1.374264173073e-09  
  1.210598133550e+00  ,1.383439765986e-09  
  1.213388850465e+00  ,1.392575845541e-09  
  1.216186000646e+00  ,1.401673232344e-09  
  1.218989598925e+00  ,1.410732722719e-09  
  1.221799660165e+00  ,1.419755089693e-09  
  1.224616199265e+00  ,1.428741083944e-09  
  1.227439231158e+00  ,1.437691434688e-09  
  1.230268770812e+00  ,1.446606850534e-09  
  1.233104833229e+00  ,1.455488020287e-09  
  1.235947433445e+00  ,1.464335613712e-09  
  1.238796586530e+00  ,1.473150282264e-09  
  1.241652307592e+00  ,1.481932659784e-09  
  1.244514611771e+00  ,1.490683363153e-09  
  1.247383514243e+00  ,1.499402992924e-09  
  1.250259030218e+00  ,1.508092133920e-09  
  1.253141174941e+00  ,1.516751355807e-09  
  1.256029963695e+00  ,1.525381213636e-09  
  1.258925411794e+00  ,1.533982248363e-09  
  1.261827534591e+00  ,1.542554987349e-09  
  1.264736347471e+00  ,1.551099944832e-09  
  1.267651865858e+00  ,1.559617622378e-09  
  1.270574105209e+00  ,1.568108509320e-09  
