  Time                 , V(ref)               
  8.448123688221e-07  ,7.568881632558e-10  
  9.745120758533e-07  ,3.006646320802e-10  
  9.770608682680e-07  ,2.971100865334e-10  
  9.821585555124e-07  ,2.895259865188e-10  
  9.923539300013e-07  ,2.743578142450e-10  
  1.000000000016e-06  ,2.678170055151e-02  
  1.000000000114e-06  ,2.832644283772e-01  
  1.000000000311e-06  ,7.962248921394e-01  
  1.000000000705e-06  ,1.822145819664e+00  
  1.000000001016e-06  ,2.494391202927e+00  
  1.000000001017e-06  ,2.494391202927e+00  
  1.000000001020e-06  ,2.494391202927e+00  
  1.000000001025e-06  ,2.494391202927e+00  
  1.000000001034e-06  ,2.494391202927e+00  
  1.000000001054e-06  ,2.494391202927e+00  
  1.000000001093e-06  ,2.494391202927e+00  
  1.000000001172e-06  ,2.494391202927e+00  
  1.000000001330e-06  ,2.494391202927e+00  
  1.000000001644e-06  ,2.494391202927e+00  
  1.000000002274e-06  ,2.494391202927e+00  
  1.000000003534e-06  ,2.494391202927e+00  
  1.000000006053e-06  ,2.494391202927e+00  
  1.000000011090e-06  ,2.494391202927e+00  
  1.000000021166e-06  ,2.494391202927e+00  
  1.000000041317e-06  ,2.494391202927e+00  
  1.000000081619e-06  ,2.494391202927e+00  
  1.000000162223e-06  ,2.494391202927e+00  
  1.000000323431e-06  ,2.494390964508e+00  
  1.000000645847e-06  ,2.494390964508e+00  
  1.000001290678e-06  ,2.494390487671e+00  
  1.000002580342e-06  ,2.494389772415e+00  
  1.000005159669e-06  ,2.494388341904e+00  
  1.000010318323e-06  ,2.494385480881e+00  
  1.000020635631e-06  ,2.494379758835e+00  
  1.000041270246e-06  ,2.494367837906e+00  
  1.000082539478e-06  ,2.494342803955e+00  
  1.000165077941e-06  ,2.494282484055e+00  
  1.000330154867e-06  ,2.457531929016e+00  
  1.000660308720e-06  ,2.326340198517e+00  
  1.001320616426e-06  ,2.074466705322e+00  
  1.002641231836e-06  ,1.631411790848e+00  
  1.005282462658e-06  ,1.010694146156e+00  
  1.010564924301e-06  ,5.719558000565e-01  
  1.015945733608e-06  ,5.982541441917e-01  
  1.023454428734e-06  ,7.284976840019e-01  
  1.032363833012e-06  ,8.881227374077e-01  
  1.050182641567e-06  ,1.184906125069e+00  
  1.085820258678e-06  ,1.686265468597e+00  
  1.157095492901e-06  ,2.379976511002e+00  
  1.283433497967e-06  ,2.493318080902e+00  
  1.299383700909e-06  ,2.493321180344e+00  
  1.331284106793e-06  ,2.493324279785e+00  
  1.395084918560e-06  ,2.493327856064e+00  
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
